식품인증업소 관리 일련번호,업소번호,업소 명,자치구 코드,자치구 명,업종 코드,업종 명,업태 코드,업태 명,업주 명,식품인증구분,식품인증 구분명,인증일자,사용여부,지도표시여부,식품인증업소 등급,지도 Y좌표,지도 X좌표,전화번호,도로명상세주소,도로명주소코드,도로명주소,허가번호,최초작성일자,최종수정일자,업소인증메뉴,교부번호,인증여부
14068,,본죽 대림점,3190000,동작구,101,일반음식점,10101,한식,,18,채식가능음식점,2022-09-01,Y,Y,,37.4903689,126.9080818,02-849-0820,,,서울특별시 동작구 시흥대로 658 (신대방동)  1층,,00:00.0,00:00.0,,,N
14070,,본 죽&비빔밥 상도점,3190000,동작구,101,일반음식점,10101,한식,,18,채식가능음식점,2022-09-01,Y,Y,,37.498084,126.9440003,02-815-6288,,,서울특별시 동작구 양녕로26길 6 (상도동) 1층,,00:00.0,00:00.0,,,N
14071,,본 죽&비빔밥 보라매역점,3190000,동작구,101,일반음식점,10101,한식,,18,채식가능음식점,2022-09-01,Y,Y,,37.4985704,126.9210584,02-821-2240,,,서울특별시 동작구 여의대방로24가길 8 (대방동) 1층,,00:00.0,00:00.0,,,N
14072,,본도시락 동작구청점,3190000,동작구,101,일반음식점,10101,한식,,18,채식가능음식점,2022-09-01,Y,Y,,37.5104551,126.9399577,02-822-4282,,,서울특별시 동작구 장승배기로 143-1 (노량진동) ,,00:00.0,00:00.0,,,N
13726,,앞으로의빵집,3000000,종로구,104,휴게음식점,10418,카페,,14,채식음식점,2022-09-01,Y,Y,,37.5746907,126.9893459,,,,서울특별시 종로구 삼일대로32가길 29-1,,00:00.0,00:00.0,,,N
13729,,마루 자연식김밥,3000000,종로구,104,휴게음식점,10417,분식,,14,채식음식점,2022-09-01,Y,Y,,37.5735708,126.9848441,02-2223-2565,,,서울특별시 종로구 인사동길 35-4 105호,,00:00.0,00:00.0,,,N
14463,,반미362 (대학로점),3000000,종로구,104,휴게음식점,10415,동남아,,18,채식가능음식점,2022-09-01,Y,Y,,37.5787443,127.0019257,070-8883-5199,,,서울특별시 종로구 대학로 85-1 1층,,00:00.0,00:00.0,,,N
13730,,채식주의자,3000000,종로구,104,휴게음식점,10414,양식,,14,채식음식점,2022-09-01,Y,Y,,37.5803779,126.9707695,02-722-1810,,,서울특별시 종로구 자하문로13길 4-7,,00:00.0,00:00.0,,,N
14507,,죠샌드위치 (독립문역),3000000,종로구,104,휴게음식점,10414,양식,,18,채식가능음식점,2022-09-01,Y,Y,,37.5739682,126.9590842,02-730-0314,,,서울특별시 종로구 통일로 230 124호,,00:00.0,00:00.0,,,N
14475,,퀴즈노스 (종로YBM),3000000,종로구,104,휴게음식점,10414,양식,,18,채식가능음식점,2022-09-01,Y,Y,,37.5697332,126.9880771,02-2272-4434,,,서울특별시 종로구 삼일대로 394,,00:00.0,00:00.0,,,N
14514,,샐러디 (종로광교점),3000000,종로구,104,휴게음식점,10414,양식,,18,채식가능음식점,2022-09-01,Y,Y,,37.5689889,126.984295,269567496,,,서울특별시 종로구 청계천로 61 6층(관철동 대한방직협회빌딩),,00:00.0,00:00.0,,,N
13697,,소이로움,3000000,종로구,104,휴게음식점,10414,양식,,14,채식음식점,2022-09-01,Y,Y,,37.5797192,126.9685935,02-586-8088,,,서울특별시 종로구 필운대로 41,,00:00.0,00:00.0,,,N
14490,,서촌가락,3000000,종로구,101,일반음식점,10125,술집,,18,채식가능음식점,2022-09-01,Y,Y,,37.5798867,126.9692025,02-739-5559,,,서울특별시 종로구 자하문로7길 59,,00:00.0,00:00.0,,,N
14480,,건강한빵,3000000,종로구,101,일반음식점,10123,베이커리,,18,채식가능음식점,2022-09-01,Y,Y,,37.5835671,126.9979439,02-6494-0049,,,서울특별시 종로구 성균관로1길 6-6,,00:00.0,00:00.0,,,N
14481,,페르시안궁전,3000000,종로구,101,일반음식점,10122,인도/중동,,18,채식가능음식점,2022-09-01,Y,Y,,37.5849155,126.9975635,02-763-6050,,,서울특별시 종로구 성균관로6길 9,,00:00.0,00:00.0,,,N
14497,,에베레스트 (동대문),3000000,종로구,101,일반음식점,10122,인도/중동,,18,채식가능음식점,2022-09-01,Y,Y,,37.5725801,127.0125134,02-766-8850,,,서울특별시 종로구 종로51가길 2-1,,00:00.0,00:00.0,,,N
14498,,두르가 (종각),3000000,종로구,101,일반음식점,10122,인도/중동,,18,채식가능음식점,2022-09-01,Y,Y,,37.5697711,126.9841033,02-720-4786,,,서울특별시 종로구 종로8길 5,,00:00.0,00:00.0,,,N
14487,,니르바나,3000000,종로구,101,일반음식점,10122,인도/중동,,18,채식가능음식점,2022-09-01,Y,Y,,37.5751564,126.9837697,02-720-1910,,,서울특별시 종로구 인사동길 58 2층,,00:00.0,00:00.0,,,N
14494,,에베레스트 (종로),3000000,종로구,101,일반음식점,10122,인도/중동,,18,채식가능음식점,2022-09-01,Y,Y,,37.5721307,127.0115684,02-766-8850,,,서울특별시 종로구 종로 305 2층,,00:00.0,00:00.0,,,N
14491,,두르가 (종로1가),3000000,종로구,101,일반음식점,10122,인도/중동,,18,채식가능음식점,2022-09-01,Y,Y,,37.5708427,126.9798436,02-733-4786,,,서울특별시 종로구 종로 19,,00:00.0,00:00.0,,,N
14500,,머노까머나 (대학로),3000000,종로구,101,일반음식점,10122,인도/중동,,18,채식가능음식점,2022-09-01,Y,Y,,37.5826013,126.998806,02-763-8850,,,서울특별시 종로구 창경궁로 236 이화빌딩,,00:00.0,00:00.0,,,N
14506,,포탈라 (종로),3000000,종로구,101,일반음식점,10122,인도/중동,,18,채식가능음식점,2022-09-01,Y,Y,,37.5684047,126.9886724,02-318-0094,,,서울특별시 종로구 청계천로 99,,00:00.0,00:00.0,,,N
14485,,작은인디아 (리틀인디아),3000000,종로구,101,일반음식점,10122,인도/중동,,18,채식가능음식점,2022-09-01,Y,Y,,37.5730671,126.9859943,02-730-5528,,,서울특별시 종로구 인사동길 27,,00:00.0,00:00.0,,,N
14513,,샐러디 (동대문점),3000000,종로구,101,일반음식점,10121,양식,,18,채식가능음식점,2022-09-01,Y,Y,,37.5703876,127.0089312,222723774,,,서울특별시 종로구 종로 272 5층 501호(종로6가 동대문종합시장 신관),,00:00.0,00:00.0,,,N
14512,,샐러디 (경복궁역점),3000000,종로구,101,일반음식점,10121,양식,,18,채식가능음식점,2022-09-01,Y,Y,,37.5772983,126.9720232,27252039,,,서울특별시 종로구 자하문로 13-1(체부동),,00:00.0,00:00.0,,,N
14511,,샐러디 (성대입구점),3000000,종로구,101,일반음식점,10121,양식,,18,채식가능음식점,2022-09-01,Y,Y,,37.5831478,126.9984364,27470806,,,서울특별시 종로구 성균관로 1 1층(명륜2가),,00:00.0,00:00.0,,,N
14510,,샐러디 (종로구청점),3000000,종로구,101,일반음식점,10121,양식,,18,채식가능음식점,2022-09-01,Y,Y,,37.572613,126.9824345,27390101,,,서울특별시 종로구 삼봉로 95 1층 110호(견지동 종로1가 대성 스카이렉스),,00:00.0,00:00.0,,,N
14509,,샐러디 (신설동점),3000000,종로구,101,일반음식점,10121,양식,,18,채식가능음식점,2022-09-01,Y,Y,,37.5738609,127.0224134,222342508,,,서울특별시 종로구 난계로29가길 14(숭인동 타임빌딩 1층),,00:00.0,00:00.0,,,N
14502,,도스타코스 (성균관대),3000000,종로구,101,일반음식점,10121,양식,,18,채식가능음식점,2022-09-01,Y,Y,,37.5832276,126.9982768,02-3676-3358,,,서울특별시 종로구 창경궁로29길 5,,00:00.0,00:00.0,,,N
14496,,온더보더 (광화문D타워),3000000,종로구,101,일반음식점,10121,양식,,18,채식가능음식점,2022-09-01,Y,Y,,37.5709968,126.9789133,02-2251-8282,,,서울특별시 종로구 종로3길 17,,00:00.0,00:00.0,,,N
14484,,아틀리에 송,3000000,종로구,101,일반음식점,10121,양식,,18,채식가능음식점,2022-09-01,Y,Y,,37.5762049,126.9893933,0507-1345-3800,,,서울특별시 종로구 율곡로6길 23 1층 아틀리에 송,,00:00.0,00:00.0,,,N
14476,,도스타코스 (종로),3000000,종로구,101,일반음식점,10121,양식,,18,채식가능음식점,2022-09-01,Y,Y,,37.5687846,126.9867429,02-737-9127,,,서울특별시 종로구 삼일대로15길 13,,00:00.0,00:00.0,,,N
14472,,TLC,3000000,종로구,101,일반음식점,10121,양식,,18,채식가능음식점,2022-09-01,Y,Y,,37.5732053,126.9717625,02-736-0177,,,서울특별시 종로구 사직로8길 34,,00:00.0,00:00.0,,,N
14469,,그리너 샐러드 혜화점,3000000,종로구,101,일반음식점,10121,양식,,18,채식가능음식점,2022-09-01,Y,Y,,37.5811164,127.0043396,0507-1334-3430,,,서울특별시 종로구 동숭길 64 1층,,00:00.0,00:00.0,,,N
14468,,디마떼오,3000000,종로구,101,일반음식점,10121,양식,,18,채식가능음식점,2022-09-01,Y,Y,,37.5800317,127.0039351,02-747-4444,,,서울특별시 종로구 동숭길 29,,00:00.0,00:00.0,,,N
14464,,퀴즈노스 (방송통신대학교),3000000,종로구,101,일반음식점,10121,양식,,18,채식가능음식점,2022-09-01,Y,Y,,37.5783383,127.0029274,02-3668-4789,,,서울특별시 종로구 대학로 86 (동숭동) 방송통신대 본관 1층,,00:00.0,00:00.0,,,N
14462,,퀴즈노스 (서울대학교의대),3000000,종로구,101,일반음식점,10121,양식,,18,채식가능음식점,2022-09-01,Y,Y,,37.5807414,126.9994196,02-741-8992,,,서울특별시 종로구 대학로 103 2층,,00:00.0,00:00.0,,,N
14461,,힐사이드테이블,3000000,종로구,101,일반음식점,10121,양식,,18,채식가능음식점,2022-09-01,Y,Y,,37.572883,126.9709632,02-720-5757,,,서울특별시 종로구 경희궁2길 7,,00:00.0,00:00.0,,,N
14467,,카페 오르다,3000000,종로구,101,일반음식점,10117,까페,,18,채식가능음식점,2022-09-01,Y,Y,,37.5798225,127.0047644,02-6289-9189,,,서울특별시 종로구 동숭1길 4,,00:00.0,00:00.0,,,N
14495,,로봇김밥 (이마빌딩),3000000,종로구,101,일반음식점,10105,분식,,18,채식가능음식점,2022-09-01,Y,Y,,37.5739077,126.9789754,02-723-1611,,,서울특별시 종로구 종로1길 42 지하1층,,00:00.0,00:00.0,,,N
13719,,천년식향(밀레니얼 다이닝),3210000,서초구,101,일반음식점,10121,양식,,14,채식음식점,2022-09-01,Y,Y,,37.4854219,127.0189762,,,,서울특별시 서초구 효령로 316-1 3층,,00:00.0,00:00.0,,,N
13717,,푸드 더즈 매터 (Food does Matter),3210000,서초구,101,일반음식점,10121,양식,,14,채식음식점,2022-09-01,Y,Y,,37.4962625,126.9976302,02-593-3322,,,서울특별시 서초구 서래로1길 10,,00:00.0,00:00.0,,,N
13716,,남미플랜트랩,3210000,서초구,101,일반음식점,10121,양식,,14,채식음식점,2022-09-01,Y,Y,,37.4806145,126.9832425,02-522-1276,,,서울특별시 서초구 방배천로4안길 55,,00:00.0,00:00.0,,,N
14175,,할랄가이즈 (강남),3210000,서초구,101,일반음식점,10122,인도/중동,,18,채식가능음식점,2022-09-01,Y,Y,,37.5018138,127.0246315,02-595-1800,,,서울특별시 서초구 강남대로69길 8,,00:00.0,00:00.0,,,N
14197,,깔리,3210000,서초구,101,일반음식점,10122,인도/중동,,18,채식가능음식점,2022-09-01,Y,Y,,37.4784708,126.9822879,02-581-2855,,,서울특별시 서초구 방배천로 21,,00:00.0,00:00.0,,,N
14196,,아그라 (사당),3210000,서초구,101,일반음식점,10122,인도/중동,,18,채식가능음식점,2022-09-01,Y,Y,,37.477722,126.982185,02-585-6322,,,서울특별시 서초구 방배천로 11 파스텔시티 5층 아그라,,00:00.0,00:00.0,,,N
14204,,죠샌드위치 (고속터미널),3210000,서초구,104,휴게음식점,10414,양식,,18,채식가능음식점,2022-09-01,Y,Y,,37.5052027,127.0063666,02-536-1090,,,서울특별시 서초구 신반포로 194 1층,,00:00.0,00:00.0,,,N
14206,,죠샌드위치 (오토갤러리),3210000,서초구,104,휴게음식점,10414,양식,,18,채식가능음식점,2022-09-01,Y,Y,,37.4617962,127.0353815,,,,서울특별시 서초구 양재대로11길 36,,00:00.0,00:00.0,,,N
14216,,샐러디 (교대역점),3210000,서초구,104,휴게음식점,10414,양식,,18,채식가능음식점,2022-09-01,Y,Y,,37.5664106,126.9778779,25881659,,,서울특별시특별시 서초구 서초대로54길 15 1층 102호(서초동 동천빌딩),,00:00.0,00:00.0,,,N
14218,,샐러디 (남부터미널역점),3210000,서초구,104,휴게음식점,10414,양식,,18,채식가능음식점,2022-09-01,Y,Y,,37.5664106,126.9778779,25889578,,,서울특별시특별시 서초구 효령로55길 39 1층 5호(서초동 센트로빌딩),,00:00.0,00:00.0,,,N
14193,,죠샌드위치 (방배),3210000,서초구,104,휴게음식점,10414,양식,,18,채식가능음식점,2022-09-01,Y,Y,,37.4971786,126.9856642,02-593-3999,,,서울특별시 서초구 방배중앙로 204 금호리첸시아 103호,,00:00.0,00:00.0,,,N
14335,,본죽 목동이대병원점,3140000,양천구,101,일반음식점,10101,한식,,18,채식가능음식점,2022-09-01,Y,Y,,37.5371725,126.8843736,02-2645-0005,,,서울특별시 양천구 목동동로 431 (목동)  우방빌딩 104호,,00:00.0,00:00.0,,,N
14334,,본 죽&비빔밥 목동사거리점,3140000,양천구,101,일반음식점,10101,한식,,18,채식가능음식점,2022-09-01,Y,Y,,37.5328892,126.8641735,02-2654-4788,,,서울특별시 양천구 등촌로 32 (목동 목동 태영프라자) 104호,,00:00.0,00:00.0,,,N
14333,,본죽 등촌역점,3140000,양천구,101,일반음식점,10101,한식,,18,채식가능음식점,2022-09-01,Y,Y,,37.5480655,126.8635358,02-2653-9553,,,서울특별시 양천구 등촌로 206 (목동 한울팰리스) ,,00:00.0,00:00.0,,,N
14332,,본죽 신월점,3140000,양천구,101,일반음식점,10101,한식,,18,채식가능음식점,2022-09-01,Y,Y,,37.5347973,126.8279944,02-6406-6288,,,서울특별시 양천구 남부순환로 40길 13번지 ,,00:00.0,00:00.0,,,N
14198,,죠샌드위치 (교대역),3210000,서초구,104,휴게음식점,10414,양식,,18,채식가능음식점,2022-09-01,Y,Y,,37.4930847,127.0183558,0507-1324-6153,,,서울특별시 서초구 사임당로17길 101 1층,,00:00.0,00:00.0,,,N
14183,,더벨로 (양재),3210000,서초구,104,휴게음식점,10416,베이커리,,18,채식가능음식점,2022-09-01,Y,Y,,37.4749019,127.0425731,070-4226-3976,,,서울특별시 서초구 마방로6길 21,,00:00.0,00:00.0,,,N
14195,,스무디킹 (파스텔시티),3210000,서초구,104,휴게음식점,10418,카페,,18,채식가능음식점,2022-09-01,Y,Y,,37.477722,126.982185,02-582-5552,,,서울특별시 서초구 방배천로 11 1층,,00:00.0,00:00.0,,,N
14205,,스무디킹 (강남터미널),3210000,서초구,104,휴게음식점,10418,카페,,18,채식가능음식점,2022-09-01,Y,Y,,37.5052027,127.0063666,02-532-2324,,,서울특별시 서초구 신반포로 194 경부선 지하 1층,,00:00.0,00:00.0,,,N
13895,,본 죽&비빔밥 관악구청점,3200000,관악구,101,일반음식점,10101,한식,,18,채식가능음식점,2022-09-01,Y,Y,,37.4779412,126.9526165,02-874-6288,,,서울특별시 관악구 관악로 144 (봉천동 우남네오폴리스) 1층 106호,,00:00.0,00:00.0,,,N
13897,,본죽 서울대입구역점,3200000,관악구,101,일반음식점,10101,한식,,18,채식가능음식점,2022-09-01,Y,Y,,37.4858549,126.9559547,02-889-6288,,,서울특별시 관악구 관악로 237 (봉천동)  ,,00:00.0,00:00.0,,,N
13900,,삼미제면,3200000,관악구,101,일반음식점,10101,한식,,18,채식가능음식점,2022-09-01,Y,Y,,37.4785775,126.9552871,0507-1314-8328,,,서울특별시 관악구 관악로14길 50,,00:00.0,00:00.0,,,N
13905,,본죽 난곡미성점,3200000,관악구,101,일반음식점,10101,한식,,18,채식가능음식점,2022-09-01,Y,Y,,37.473893,126.9173546,02-862-6282,,,서울특별시 관악구 난곡로 219 (신림동)  ,,00:00.0,00:00.0,,,N
13906,,본 죽&비빔밥 관악우체국점,3200000,관악구,101,일반음식점,10101,한식,,18,채식가능음식점,2022-09-01,Y,Y,,37.4849166,126.9326298,02-883-6282,,,서울특별시 관악구 남부순환로 1637 (신림동 건중빌딩) ,,00:00.0,00:00.0,,,N
13907,,본죽 봉천점,3200000,관악구,101,일반음식점,10101,한식,,18,채식가능음식점,2022-09-01,Y,Y,,37.4824569,126.9436776,02-873-0352,,,서울특별시 관악구 남부순환로 1741 (봉천동) ,,00:00.0,00:00.0,,,N
13909,,두부공작소 사당직영점,3200000,관악구,101,일반음식점,10101,한식,,18,채식가능음식점,2022-09-01,Y,Y,,37.4759757,126.9771662,02-587-3646,,,서울특별시 관악구 남현2길 4,,00:00.0,00:00.0,,,N
13910,,강릉형제장칼국수,3200000,관악구,101,일반음식점,10101,한식,,18,채식가능음식점,2022-09-01,Y,Y,,37.4690111,126.9384066,02-871-8852,,,서울특별시 관악구 대학5길 10-7,,00:00.0,00:00.0,,,N
13911,,본죽 신림고시촌점,3200000,관악구,101,일반음식점,10101,한식,,18,채식가능음식점,2022-09-01,Y,Y,,37.4694552,126.9376881,02-887-6288,,,서울특별시 관악구 대학길 30 (신림동) ,,00:00.0,00:00.0,,,N
13912,,본 죽&비빔밥 낙성대점,3200000,관악구,101,일반음식점,10101,한식,,18,채식가능음식점,2022-09-01,Y,Y,,37.4778408,126.9626803,02-874-6233,,,서울특별시 관악구 솔밭로 2 (봉천동) ,,00:00.0,00:00.0,,,N
13913,,본도시락 신림점,3200000,관악구,101,일반음식점,10101,한식,,18,채식가능음식점,2022-09-01,Y,Y,,37.4867777,126.9252196,02-872-4282,,,서울특별시 관악구 신림동길 31-1 (신림동) 1층 ,,00:00.0,00:00.0,,,N
13915,,본죽 서림점,3200000,관악구,101,일반음식점,10101,한식,,18,채식가능음식점,2022-09-01,Y,Y,,37.4762387,126.9375356,02-877-6288,,,서울특별시 관악구 신림로 210-1  ,,00:00.0,00:00.0,,,N
13916,,본 죽&비빔밥 신림역점,3200000,관악구,101,일반음식점,10101,한식,,18,채식가능음식점,2022-09-01,Y,Y,,37.4820153,126.9296522,02-887-6233,,,서울특별시 관악구 신림로 309 (신림동) 1층,,00:00.0,00:00.0,,,N
14350,,본죽 신정네거리역점,3140000,양천구,101,일반음식점,10101,한식,,18,채식가능음식점,2022-09-01,Y,Y,,37.5191729,126.8536461,02-2646-1810,,,서울특별시 양천구 중앙로 254 (신정동) 신정화산빌딩 1층 10호,,00:00.0,00:00.0,,,N
14349,,본죽 신정점,3140000,양천구,101,일반음식점,10101,한식,,18,채식가능음식점,2022-09-01,Y,Y,,37.521081,126.8599519,02-6013-7979,,,서울특별시 양천구 은행정로 16 (신정동)  신정동 1019-2,,00:00.0,00:00.0,,,N
14348,,다온메밀막국수,3140000,양천구,101,일반음식점,10101,한식,,18,채식가능음식점,2022-09-01,Y,Y,,37.5252886,126.8636665,02-2695-9595,,,서울특별시 양천구 오목로50길 8,,00:00.0,00:00.0,,,N
14346,,본죽 신정지구점,3140000,양천구,101,일반음식점,10101,한식,,18,채식가능음식점,2022-09-01,Y,Y,,37.5123566,126.8302118,02-2606-8300,,,서울특별시 양천구 신정이펜1로 50 (신정동 신정이펜하우스3단지) 316동 상가114호,,00:00.0,00:00.0,,,N
14345,,본도시락 목동점,3140000,양천구,101,일반음식점,10101,한식,,18,채식가능음식점,2022-09-01,Y,Y,,37.5218953,126.8621681,02-2607-4282,,,서울특별시 양천구 신월로 370 (신정동) 1층,,00:00.0,00:00.0,,,N
14344,,본죽 신곡시장점,3140000,양천구,101,일반음식점,10101,한식,,18,채식가능음식점,2022-09-01,Y,Y,,37.5188485,126.8425538,02-2065-3200,,,서울특별시 양천구 신월로 175 (신월동) ,,00:00.0,00:00.0,,,N
14343,,본 죽&비빔밥 오목교역점,3140000,양천구,101,일반음식점,10101,한식,,18,채식가능음식점,2022-09-01,Y,Y,,37.5222983,126.8741309,02-2652-6288,,,서울특별시 양천구 신목로 83 (신정동) 1층,,00:00.0,00:00.0,,,N
14342,,본 죽&비빔밥 목동파리공원점,3140000,양천구,101,일반음식점,10101,한식,,18,채식가능음식점,2022-09-01,Y,Y,,37.5359497,126.877999,02-2645-6768,,,서울특별시 양천구 목동서로 77 (목동 현대월드타워) 현대월드타워 1층 141142호,,00:00.0,00:00.0,,,N
14341,,본도시락 목동파리공원점,3140000,양천구,101,일반음식점,10101,한식,,18,채식가능음식점,2022-09-01,Y,Y,,37.5366523,126.8798667,02-2646-4282,,,서울특별시 양천구 목동서로 57 현대파리지앙 1층 124호 ,,00:00.0,00:00.0,,,N
14340,,본도시락 오목교점,3140000,양천구,101,일반음식점,10101,한식,,18,채식가능음식점,2022-09-01,Y,Y,,37.5218633,126.8691485,02-2648-4282,,,서울특별시 양천구 목동서로 285 (신정동 황금 프라자) 109호 ,,00:00.0,00:00.0,,,N
14339,,본죽 목동아크로텔점,3140000,양천구,101,일반음식점,10101,한식,,18,채식가능음식점,2022-09-01,Y,Y,,37.5224608,126.8694449,02-2651-7889,,,서울특별시 양천구 목동서로 277 (신정동)  대림아크로텔 106호,,00:00.0,00:00.0,,,N
14338,,본 죽&비빔밥 목동파라곤점,3140000,양천구,101,일반음식점,10101,한식,,18,채식가능음식점,2022-09-01,Y,Y,,37.5294535,126.8751773,02-2647-6233,,,서울특별시 양천구 목동서로 155 (목동 목동파라곤) B1-15호,,00:00.0,00:00.0,,,N
14337,,본죽 목동로데오점,3140000,양천구,101,일반음식점,10101,한식,,18,채식가능음식점,2022-09-01,Y,Y,,37.5279268,126.8644071,02-2645-6288,,,서울특별시 양천구 목동로 218 (목동) 1층,,00:00.0,00:00.0,,,N
14336,,본죽 양천구청점,3140000,양천구,101,일반음식점,10101,한식,,18,채식가능음식점,2022-09-01,Y,Y,,37.5155356,126.8613937,02-2646-6288,,,서울특별시 양천구 목동동로 55 (신정동 밀레니엄프라자) ,,00:00.0,00:00.0,,,N
13918,,본죽 신대방역점,3200000,관악구,101,일반음식점,10101,한식,,18,채식가능음식점,2022-09-01,Y,Y,,37.4866675,126.9131788,02-853-6288,,,서울특별시 관악구 신사로 94 (신림동) ,,00:00.0,00:00.0,,,N
13919,,본죽 봉일시장점,3200000,관악구,101,일반음식점,10101,한식,,18,채식가능음식점,2022-09-01,Y,Y,,37.4860424,126.9395791,02-885-6288,,,서울특별시 관악구 은천로 38-1 (봉천동)  ,,00:00.0,00:00.0,,,N
13920,,본죽 신림녹두거리점,3200000,관악구,101,일반음식점,10101,한식,,18,채식가능음식점,2022-09-01,Y,Y,,37.4705723,126.9336591,02-888-6233,,,서울특별시 관악구 호암로 598 (신림동)  동방빌딩 1층,,00:00.0,00:00.0,,,N
13908,,화상손만두,3200000,관악구,101,일반음식점,10102,중국식,,18,채식가능음식점,2022-09-01,Y,Y,,37.4762754,126.962962,02-3285-8842,,,서울특별시 관악구 남부순환로244길 18,,00:00.0,00:00.0,,,N
13896,,엔조,3200000,관악구,101,일반음식점,10121,양식,,18,채식가능음식점,2022-09-01,Y,Y,,37.4789416,126.9526477,02-875-0807,,,서울특별시 관악구 관악로 154 대도빌딩,,00:00.0,00:00.0,,,N
13898,,퍼블리코타코,3200000,관악구,101,일반음식점,10121,양식,,18,채식가능음식점,2022-09-01,Y,Y,,37.4776664,126.9582281,02-871-6282,,,서울특별시 관악구 관악로14길 106,,00:00.0,00:00.0,,,N
13901,,도스타코스 (서울대입구역),3200000,관악구,101,일반음식점,10121,양식,,18,채식가능음식점,2022-09-01,Y,Y,,37.4791417,126.9528597,02-889-5904,,,서울특별시 관악구 관악로14길 6,,00:00.0,00:00.0,,,N
13904,,스윗밸런스 (샤로수길),3200000,관악구,101,일반음식점,10121,양식,,18,채식가능음식점,2022-09-01,Y,Y,,37.4779789,126.9578959,02-883-3225,,,서울특별시 관악구 관악로14길 99,,00:00.0,00:00.0,,,N
13864,,반미362 (마곡점),3150000,강서구,104,휴게음식점,10415,동남아,,18,채식가능음식점,2022-09-01,Y,Y,,37.5591553,126.8365204,02-3664-0362,,,서울특별시 강서구 공항대로 261 발산파크프라자 1층 116호,,00:00.0,00:00.0,,,N
13888,,샐러디 (마곡발산역점),3150000,강서구,104,휴게음식점,10414,양식,,18,채식가능음식점,2022-09-01,Y,Y,,37.5596129,126.8372377,226439143,,,서울특별시 강서구 공항대로 269-15 1층 104호(마곡동 힐스테이트에코마곡),,00:00.0,00:00.0,,,N
13889,,샐러디 (마곡나루역점),3150000,강서구,104,휴게음식점,10414,양식,,18,채식가능음식점,2022-09-01,Y,Y,,37.5671307,126.826639,236632133,,,서울특별시 강서구 마곡중앙5로 6 1층 107호(마곡동),,00:00.0,00:00.0,,,N
